product_name,image_url,price,page
Horizon Torus 5 Complete Home Gym,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1172121_1172121-NC0_001.jpg",R 39999.90,1
Marcy Half Rack,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1172222_1172222-NC0_001.jpg",R 7999.90,1
Marcy Power Tower,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1172221_1172221-NC0_001.jpg",R 4999.90,1
HS Fitness Utility Bench,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178136_1178136-1_001.jpg",R 3999.90,1
OTG 0.5kg Weighted Bars,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1185955_1185955-XFGG_001.jpg",R 349.90,1
OTG 6KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1185978_1185978-98_001.jpg",R 299.90,1
OTG 4KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1185976_1185976-X875_001.jpg",R 199.90,1
OTG 5KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1185977_1185977-DSBE_001.jpg",R 249.90,1
OTG 1KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1185973_1185973-147_001.jpg",R 49.90,1
OTG 2KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1185974_1185974-167_001.jpg",R 99.90,1
OTG 3KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1185975_1185975-XFGG_001.jpg",R 149.90,1
USA Pro Dipping Dumbbell 7.5KG,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1189628_1189628-6_001.jpg",R 779.00,1
Everlast 18kg Dumbbell Set,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1189943_1189943-1_001.jpg",R 1649.00,1
USA Pro Dipping Dumbbell 1.5KG,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1189622_1189622-98_001.jpg",R 239.00,1
USA Pro Dipping Dumbbell 5KG,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1189625_1189625-98_001.jpg",R 539.00,1
USA Pro Dipping Dumbbell 2KG,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1189623_1189623-5_001.jpg",R 269.00,1
USA Pro Dipping Dumbbell 2.5KG,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1189624_1189624-HYDr_001.jpg",R 329.00,1
USA Pro Dipping Dumbbell 10KG,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1189627_1189627-1_001.jpg",R 1049.00,1
USA Pro Dipping Dumbbell 1KG,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1189621_1189621-98_001.jpg",R 219.00,1
Everlast Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1189908_1189908-1_001.jpg",R 819.00,1
Horizon Squat Rack,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1187666_1187666-1_001.jpg",R 6499.90,1
Horizon Adjustable Bench,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1187665_1187665-1_001.jpg",R 5999.90,1
Horizon Adjustable Dumbbell (20kg),"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1187664_1187664-1_001.jpg",R 5999.90,1
HS Fitness Wall Mounted Pull-Up Bar,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1177989_1177989-1_001.jpg",R 999.90,1
Body Sculpture Dumbbell + Plate Stand,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1177993_1177993-263_001.jpg",R 2799.90,1
HS Fitness Club Gym 1.0,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178165_1178165-1_001.jpg",R 12999.90,1
HS Fitness 16kg Rubber Coated Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178023_1178023-1_001.jpg",R 999.90,1
HS Fitness 10kg Rubber Coated Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178021_1178021-1_001.jpg",R 699.90,1
HS Fitness 12kg Rubber Coated Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178022_1178022-1_001.jpg",R 849.90,1
HS Fitness 8kg Rubber Coated Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/%201178020_1178020-1_001.jpg",R 549.90,1
HS Fitness 6kg Rubber Coated Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178018_1178018-1_001.jpg",R 399.90,1
HS Fitness 4kg Rubber Coated Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178017_1178017-1_001.jpg",R 299.90,1
HS Fitness 10kg Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178013_1178013-hgfv_001.jpg",R 329.90,2
HS Fitness 20kg Olympic Rubber Coated Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178027_1178027-blbl_001.jpg",R 1699.90,2
HS Fitness 2.5kg Olympic Rubber Coated Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178024_1178024-59ulb_001.jpg",R 249.90,2
HS Fitness 5kg Olympic Rubber Coated Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178025_1178025-263_001.jpg",R 499.90,2
HS Fitness 8kg Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178012_1178012-hgfv_001.jpg",R 249.90,2
HS Fitness 12kg Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178014_1178014-hgfv_001.jpg",R 399.90,2
HS Fitness 6kg Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178011_1178011-hgfv_001.jpg",R 199.90,2
HS Fitness 16kg Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178015_1178015-hgfv_001.jpg",R 549.90,2
Body Sculpture Weight Plate Stand,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1177991_1177991-1_001.jpg",R 1199.90,2
HS Fitness 2kg Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178009_1178009-hgfv_001.jpg",R 69.90,2
HS Fitness 4kg Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178010_1178010-hgfv_001.jpg",R 129.90,2
HS Fitness Elite Weight Bench,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1178134_1178134-1_001.jpg",R 6999.90,2
Body Sculpture Dumbbell Stand,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1177992_1177992-1_001.jpg",R 999.90,2
HS Fitness Elite Powerlifting Bar (218cm),"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1177998_1177998-1_001.jpg",R 3999.90,2
HS Fitness 25kg Pro Bumper Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1173645_1173645-19_001.jpg",R 2499.90,2
HS Fitness 5kg Pro Bumper Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1173627_1173627-1_001.jpg",R 899.90,2
HS Fitness 10kg Pro Bumper Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1173642_1173642-9_001.jpg",R 1299.90,2
